"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10200","ACAD","ACAD-174","1","2","2","Innovators Forum","C ","","Y ","17:00","19:50","M ","32","B ","Thomas, Doug","IYH212/213 ","32","Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10202","ACAD","ACAD-176","1","4","4","Rapid Visualization ","C ","","Y ","14:00","16:20","MW","32","B ","Child, Stephen, C.","IYH110 ","32","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10242","ACAD","ACAD-176","60","4","4","Rapid Visualization ","C ","","Y ","17:00","19:50","TH","24","A ","Siegel, Aaron ","ONLINE ","24","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10243","ACAD","ACAD-177","1","2","2","Digital Toolbox for Design","C ","","Y ","17:30","19:50","W ","34","B ","Benson, Estevan ","IYH212/213 ","34","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10209","ACAD","ACAD-177","508","2","2","Digital Toolbox for Design","C ","","Y ","8:00","9:50","TH","30","B ","Child, Stephen, C.","IYH210/211 ","30","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10222","ACAD","ACAD-180","648","2","2","Digital Toolbox: Sound and Audio","C ","","Y ","8:00","9:50","TH","29","B ","Jones, Wayne","IYH210 ","29","Basics of industry-standard hardware and software used for designing, creating, processingand distributing sound and audio. ","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10207","ACAD","ACAD-181","1","4","4","Disruptive Innovation","C","","Y","10:00","11:50","TH","32","B","More, Phil Armanini, Scott","IYH210/211","32","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10204","ACAD","ACAD-182","1","4","4","Case Studies in Innovation","C","","Y","18:00","19:50","MW","18","B","More, Phil Armanini, Scott","IYH110","18","Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10212","ACAD","ACAD-187","1","2","2","Digital Toolbox: 3D Design","C ","","N ","8:00","9:50","THF ","0","",""," ","0","Basics of industry standard software for modeling and rendering 3D materials, objects and lighting. Includes instruction in pipelines for 3D assets.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
"10201","ACAD","ACAD-188","508","2","2","Digital Toolbox: Modeling Products I","C ","","Y ","18:00","19:50","MW","25","A ","Hughes, Adam","ONLINE ","25","Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","Jimmy Iovine and Andre Young Academy","ACAD","20203"
