"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10200","ACAD","ACAD-174","1","2","2","Innovators Forum","C ","","Y ","17:00","19:50","M ","32","","Thomas, Doug","IYH210/211 ","32","Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10202","ACAD","ACAD-176","1","4","4","Rapid Visualization ","C ","","Y ","14:00","16:50","TH","32","","Siegel, Aaron ","IYH212/213 ","32","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10242","ACAD","ACAD-176","1","4","4","Rapid Visualization ","C ","","Y ","17:00","19:50","MW","19","","Bell, Joel","IYH213 ","19","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10209","ACAD","ACAD-177","508","2","2","Digital Toolbox: Design ","C ","","Y ","9:00","11:50","TH","31","","Benson, Estevan ","IYH210 ","31","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10208","ACAD","ACAD-177","1","2","2","Digital Toolbox: Design ","C ","","Y ","17:00","19:50","W ","37","","Benson, Estevan ","IYH210 ","37","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10207","ACAD","ACAD-181","1","4","4","Disruptive Innovation ","C ","","Y ","9:00","10:50","MW","32","","More, Phil","IYH211 ","32","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10204","ACAD","ACAD-182","1","4","4","Case Studies in Innovation","C ","","Y ","18:00","19:50","MW","21","","Armanini, Scott ","IYH212 ","21","Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10211","ACAD","ACAD-187","648","2","2","Digital Toolbox: 3D Design","C ","","Y ","9:00","11:50","TH","32","","Swain, Chris","IYH210 ","32","Basics of industry standard software for modeling and rendering 3D materials, objects and lighting. Includes instruction in pipelines for 3D assets.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10201","ACAD","ACAD-188","508","2","2","Digital Toolbox: Modeling Products I","C ","","Y ","18:00","19:50","TH","16","","Hughes, Adam","IYH211 ","16","Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10222","ACAD","ACAD-189","648","2","2","Digital Toolbox: Modeling Products II ","C ","","Y ","18:00","19:50","TH","11","","Hughes, Adam","IYH211 ","11","An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products. ","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10234","ACAD","ACAD-207","1","4","4","Designing Narrative Media","C","","Y","12:30","14:50","MW","33","","Swain, Chris Schneider, Emily","IYH212/213","33","Students conceive and produce persuasive media-based narratives presenting new ideas, products and services. Students develop the requisite media production skills to drive impact through storytelling.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10238","ACAD","ACAD-217","1","4","4","Designing Immersive Media ","C ","","Y ","17:00","19:50","MW","14","","Becker, Carsten ","IYH112 ","14","Students design and develop live immersive experiences in a variety of mediums including AR, VR and small- to large-scale interactive environments. ","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10235","ACAD","ACAD-240","1","4","4","Materials: Denim to Nanotubes ","C ","","Y ","9:00","10:50","TH","32","","Hughes, Adam","IYH212/213 ","32","Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind. ","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10203","ACAD","ACAD-240","1","4","4","Materials: Denim to Nanotubes ","C ","","Y ","15:00","16:50","TH","29","","Hughes, Adam","IYH107 ","29","Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind. ","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10232","ACAD","ACAD-245","1","4","4","Designing Products I","C","","Y","18:00","20:50","TH","20","","Delgatty, GrantJones, Trent","IYH111","20","An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10221","ACAD","ACAD-255","1","4","4","Advancing Journalism with Human-Centered Design","C","","N","15:00","16:50","TH","0","","Davis, Laura Manos, Matthew","IYH112","0","Employing a human-centered design framework, students research and develop novel solutions to experience, collaboration and culture issues that pervade newsrooms worldwide.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10214","ACAD","ACAD-261","1","4","4","Human Health and Technology","C","","Y","12:00","13:50","MW","12","","Lulejian, Armine Dickhoner, James","IYH211","12","Introduction to major concepts and theories on the biological, scientific and technological aspects of health care and disease prevention and management. mHealth, surveillance, electronic/personal health records, wearables, virtual/augmented realities, telehealth.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10205","ACAD","ACAD-275","1","4","4","Dev I ","C ","","Y ","17:00","19:50","TH","21","","Dent, Patrick, H","IYH210 ","21","Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
"10210","ACAD","ACAD-276","1","4","4","Dev II","C ","","Y ","14:00","16:50","TH","27","","Dent, Patrick, H","IYH210 ","27","Fundamentals of server-side scripting and web templates. Design and creation of data structures and databases. Visualize analytics and data.","Jimmy Iovine and Andre Young Academy","ACAD","20213"
